name,lat,lon,total,dates,charges,countries,gang
"Fayetteville, TN",35.1520267,-86.5705509,38,02/03/25 - 05/19/26,"Assault, Dangerous Drugs, Forgery, Fraudulent Activities, Gambling, General Crimes, Liquor, Obstructing the Police, Traffic Offenses","BAHAMAS, EL SALVADOR, GUATEMALA, HONDURAS, INDIA, MEXICO, VENEZUELA",
"Mitchells, VA",38.3770735,-78.0283316,38,04/08/25 - 05/11/26,"Assault, Burglary, Dangerous Drugs, Forgery, Homicide, Larceny, Obscenity, Obstructing the Police, Robbery, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Traffic Offenses, Weapon Offenses","ARGENTINA, BOLIVIA, CUBA, ECUADOR, EL SALVADOR, ETHIOPIA, GUATEMALA, HONDURAS, INDIA, KYRGYZSTAN, MEXICO, PERU, THAILAND",✅
"Primghar, IA",43.086922,-95.627232,37,03/03/25 - 05/20/26,"Assault, Dangerous Drugs, Forgery, Fraudulent Activities, General Crimes, Obstructing Judiciary, Congress, Legislature, Etc., Robbery, Sexual Assault, Threat, Traffic Offenses, Weapon Offenses","ECUADOR, EL SALVADOR, GUATEMALA, HONDURAS, MEXICO, NEPAL, NICARAGUA, VENEZUELA",
"Walterboro, SC",32.9021377,-80.6672631,36,02/11/25 - 05/08/26,"Assault, Dangerous Drugs, Fraudulent Activities, Invasion of Privacy, Larceny, Liquor, Obstructing the Police, Public Peace, Stolen Vehicle, Traffic Offenses, Weapon Offenses","BRAZIL, COLOMBIA, EL SALVADOR, GUATEMALA, HONDURAS, MEXICO, NICARAGUA",
"St. Joseph, MI",41.9031963,-85.5356726,35,01/26/25 - 04/25/26,"Assault, Burglary, Dangerous Drugs, Family Offenses, Fraudulent Activities, Homicide, Immigration, Larceny, Liquor, Obstructing the Police, Public Peace, Sexual Assault, Traffic Offenses, Weapon Offenses","ECUADOR, GUATEMALA, INDIA, MEXICO, NICARAGUA, UNITED KINGDOM, VENEZUELA",
"Centerville, LA",29.7596514,-91.4284423,34,01/31/25 - 05/12/26,"Assault, Burglary, Dangerous Drugs, Fraudulent Activities, General Crimes, Immigration, Larceny, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Traffic Offenses, Weapon Offenses","CUBA, GUATEMALA, HONDURAS, MEXICO",✅
"Ofallon, MO",38.7345353,-90.69015095,34,01/30/25 - 04/30/26,"Forgery, Immigration, Larceny, Obstructing the Police, Sexual Assault, Traffic Offenses, Weapon Offenses","COLOMBIA, GUATEMALA, HONDURAS, MEXICO, ROMANIA, VENEZUELA",
"Bay St Louis, MS",30.3105666,-89.3275482,33,02/27/25 - 05/18/26,"Assault, Immigration, Kidnapping, Larceny, Stolen Property, Traffic Offenses","EL SALVADOR, GUATEMALA, HONDURAS, MEXICO, NICARAGUA, THAILAND, VENEZUELA",
"Baxley, GA",31.7773202,-82.3490533,33,02/12/25 - 05/19/26,"Assault, Dangerous Drugs, Fraudulent Activities, Immigration, Kidnapping, Larceny, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Public Peace, Traffic Offenses","GUATEMALA, HONDURAS, MEXICO, NICARAGUA",
"Jasper, IN",41.0321808,-87.1066598,33,01/28/25 - 05/19/26,"Assault, Bribery, Burglary, Forgery, Fraudulent Activities, General Crimes, Larceny, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Public Peace, Sex Offenses (Not Involving Assault or Commercialized Sex), Traffic Offenses","CHINA, PEOPLES REPUBLIC OF, COLOMBIA, CUBA, EL SALVADOR, GUATEMALA, HAITI, HONDURAS, MEXICO, VENEZUELA",
"Hartsville, TN",36.3908826,-86.1672107,32,03/21/25 - 05/20/26,"Assault, Dangerous Drugs, Flight / Escape, Forgery, General Crimes, Obstructing Judiciary, Congress, Legislature, Etc., Public Peace, Robbery, Sexual Assault, Traffic Offenses, Weapon Offenses","BAHAMAS, DOMINICAN REPUBLIC, GUATEMALA, HONDURAS, MEXICO, NICARAGUA, VENEZUELA",
"Luxora, AR",35.7556944,-89.9284493,31,02/12/25 - 05/19/26,"Arson, Assault, Burglary, Commercialized Sexual Offenses, Dangerous Drugs, Flight / Escape, General Crimes, Immigration, Invasion of Privacy, Larceny, Liquor, Obstructing Judiciary, Congress, Legislature, Etc., Traffic Offenses, Weapon Offenses","CUBA, GUATEMALA, HAITI, HONDURAS, INDIA, MEXICO, VENEZUELA, VIETNAM",
"Dubuque, IA",42.5006243,-90.6647985,30,02/14/25 - 04/29/26,"Assault, Damage Property, Dangerous Drugs, Family Offenses, Fraudulent Activities, General Crimes, Immigration, Larceny, Obstructing Judiciary, Congress, Legislature, Etc., Sex Offenses (Not Involving Assault or Commercialized Sex), Traffic Offenses","GUATEMALA, HONDURAS, INDIA, MEXICO, VENEZUELA",
"Marion, IN",40.5583739,-85.6591442,30,02/20/25 - 05/03/26,"Assault, Dangerous Drugs, Fraudulent Activities, General Crimes, Larceny, Obstructing the Police, Public Peace, Sex Offenses (Not Involving Assault or Commercialized Sex), Traffic Offenses","DOMINICAN REPUBLIC, EL SALVADOR, GUATEMALA, HONDURAS, INDIA, MEXICO, NICARAGUA, VENEZUELA",
"Ashland City, TN",36.2742207,-87.0641699,30,06/12/25 - 05/19/26,"Assault, Burglary, Dangerous Drugs, Forgery, Fraudulent Activities, General Crimes, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Public Peace, Traffic Offenses","BAHAMAS, EL SALVADOR, GUATEMALA, HONDURAS, MEXICO, VENEZUELA",
"Accomac, VA",37.7193734,-75.6708885,29,01/31/25 - 05/08/26,"Assault, Burglary, General Crimes, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Sex Offenses (Not Involving Assault or Commercialized Sex), Traffic Offenses","BELIZE, CHILE, GUATEMALA, HAITI, HONDURAS, MEXICO",
"Mountain City, TN",36.4745636,-81.804838,29,03/12/25 - 05/13/26,"Assault, Burglary, Dangerous Drugs, Flight / Escape, General Crimes, Larceny, Liquor, Obstructing Judiciary, Congress, Legislature, Etc., Robbery, Sexual Assault, Traffic Offenses, Weapon Offenses","CHINA, PEOPLES REPUBLIC OF, EL SALVADOR, GUATEMALA, HONDURAS, INDIA, MEXICO, NICARAGUA",
"Madison, NE",41.9064942,-97.5961512,29,02/11/25 - 05/09/26,"Assault, Burglary, Dangerous Drugs, Family Offenses, Fraudulent Activities, Obstructing the Police, Sex Offenses (Not Involving Assault or Commercialized Sex), Stolen Property, Traffic Offenses","CUBA, GUATEMALA, HONDURAS, MEXICO, NICARAGUA",
"Winchester, KY",37.990079,-84.1796503,28,02/06/25 - 05/20/26,"Assault, Dangerous Drugs, Forgery, Fraudulent Activities, General Crimes, Obstructing the Police, Traffic Offenses, Weapon Offenses","GUATEMALA, HONDURAS, MEXICO, NICARAGUA",
"Greensburg, IN",39.3372722,-85.483581,28,02/25/25 - 05/07/26,"Arson, Assault, Dangerous Drugs, Fraudulent Activities, Larceny, Traffic Offenses, Weapon Offenses","GUATEMALA, HONDURAS, INDIA, MEXICO, NICARAGUA, PERU, VENEZUELA",
"Farmington, MO",37.7803037,-90.4226371,28,02/11/25 - 05/12/26,"Assault, Immigration, Obstructing the Police, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Traffic Offenses","CAMBODIA, GUATEMALA, HONDURAS, MEXICO, MICRONESIA, FEDERATED STATES OF, NICARAGUA, SIERRA LEONE",
"Camdenton, MO",38.011448,-92.7448759,27,02/14/25 - 05/09/26,"Assault, Burglary, Dangerous Drugs, Forgery, General Crimes, Obstructing Judiciary, Congress, Legislature, Etc., Sex Offenses (Not Involving Assault or Commercialized Sex), Traffic Offenses","GUATEMALA, HONDURAS, MEXICO, NICARAGUA, VENEZUELA",
"Washington, IA",41.3160082,-91.7340327,27,02/22/25 - 05/03/26,"Assault, Burglary, Dangerous Drugs, Family Offenses, Flight / Escape, General Crimes, Liquor, Smuggling, Traffic Offenses","GUATEMALA, HONDURAS, MEXICO, VENEZUELA",
